generation,global_best_fitness,global_avg_fitness
0,-46.175587396403586,13794.775857562585
1,-161.18467877177815,10719.16199757836
2,-176.5292717758921,9085.791316226961
3,-176.5292717758921,12220.399711875809
4,-176.5292717758921,9990.201719823666
5,-176.5292717758921,9426.156364602626
6,-178.5611768827748,10941.86268912565
7,-183.22999699438094,10362.251532646664
8,-187.9405660036189,8702.806220406648
9,-187.9405660036189,8285.064101669297
10,-187.9405660036189,7770.482467235339
11,-187.9405660036189,8605.545436264872
12,-187.9405660036189,8932.039519242906
13,-192.15170251113264,8740.914498813767
14,-192.15170251113264,7198.469696608273
15,-192.15170251113264,7711.5081495422455
16,-194.1496593109125,7468.459408983067
17,-194.1496593109125,7710.5320486170485
18,-194.1496593109125,7263.6253311715245
19,-194.1496593109125,7522.499601394338
20,-194.1496593109125,7327.047869544843
21,-194.1496593109125,7523.115185846386
22,-194.1496593109125,6797.968623826471
23,-194.1496593109125,6671.896788304414
24,-194.1496593109125,7384.210603183331
25,-194.1496593109125,6682.553453598727
26,-194.1496593109125,7254.390998500755
27,-446943.379366033,4693.476550778776
28,-446943.379366033,7315.752977265185
29,-446943.379366033,8526.472122949575
30,-446943.379366033,7141.401449518814
31,-446943.379366033,6572.255451034502
32,-446943.379366033,8409.62029445155
33,-552679.9515172171,5511.011753945525
34,-552679.9515172171,9265.893834901442
35,-552679.9515172171,7903.734709786815
36,-552679.9515172171,7272.5486685662945
37,-552679.9515172171,6762.647725029246
38,-552679.9515172171,7579.29806574183
39,-552679.9515172171,7420.299352829105
40,-552679.9515172171,8479.056269680523
41,-552679.9515172171,8217.080373096254
42,-552679.9515172171,5029.3311161447145
43,-552679.9515172171,7600.426772435739
44,-552679.9515172171,6469.186197457436
45,-552679.9515172171,7156.564525419394
46,-552679.9515172171,5071.18512728735
47,-552679.9515172171,7952.766087674676
48,-552679.9515172171,7091.062539904822
49,-552679.9515172171,6906.7251623189
50,-552679.9515172171,6818.3266711095375
51,-552679.9515172171,6463.603762101457
52,-552679.9515172171,8035.532063220859
53,-552679.9515172171,6471.6000123352715
54,-552679.9515172171,6008.529687413023
55,-552679.9515172171,6476.661011137341
56,-552679.9515172171,6189.079403724419
57,-552679.9515172171,661.0293638498522
58,-552679.9515172171,6095.3539643662925
59,-552679.9515172171,5889.366589261288
60,-552679.9515172171,5363.901418563328
61,-580165.893907659,411.5171309065904
62,-580165.893907659,7806.416764909386
63,-580165.893907659,9226.293239482768
64,-580165.893907659,9457.445284183808
65,-580165.893907659,7217.105686154474
66,-580165.893907659,6606.112259771691
67,-580165.893907659,7308.173917875144
68,-580165.893907659,7774.355604959792
69,-580165.893907659,4334.362647319307
70,-580165.893907659,7557.17249610746
71,-580165.893907659,7621.23626543167
72,-580165.893907659,7088.41914875625
73,-580165.893907659,7197.035175622506
74,-580759.7092076468,3307.7781382906023
75,-580759.7092076468,6984.623724477846
76,-580759.7092076468,7435.33753270266
77,-580759.7092076468,7666.497312527536
78,-580759.7092076468,4243.388170208998
79,-586040.143114202,2748.4068003127218
80,-586040.143114202,8111.319271611587
81,-586040.143114202,3836.6391480011057
82,-586040.143114202,8354.433627186412
83,-586040.143114202,8438.69019623658
84,-586040.143114202,8860.597172587566
85,-586040.143114202,1943.30243957407
86,-586040.143114202,7256.406857236965
87,-586040.143114202,3909.5592674982586
88,-586040.143114202,5111.116441889064
89,-586040.143114202,8387.881220906564
90,-586040.143114202,6663.425008827024
91,-586040.143114202,4642.971362508578
92,-586040.143114202,8872.901933035004
93,-586040.143114202,8572.747310240147
94,-586040.143114202,446.9338441966497
95,-586040.143114202,5046.685105360841
96,-586040.143114202,-3085.865347596185
97,-588493.3496190237,26.970048738026527
98,-588493.3496190237,4316.553486473146
99,-588493.3496190237,4546.610537922992
100,-588493.3496190237,-3695.99909111711
101,-588493.3496190237,-2725.3041601098466
102,-588772.3747578787,-2876.4725383198097
103,-588772.3747578787,9140.214193065893
104,-588785.8733006644,1936.3646882687283
105,-588785.8733006644,-2662.519139759963
106,-588785.8733006644,-3302.466966233508
107,-588785.8733006644,1178.4986590524818
108,-588785.8733006644,-6827.110724813196
109,-588785.8733006644,-6908.702528818721
110,-588785.8733006644,1158.9080742213641
111,-588785.8733006644,1340.7569033827888
112,-588785.8733006644,-10636.687399530616
113,-588785.8733006644,-9888.104278029758
114,-588785.8733006644,-21805.652838783728
115,-588785.8733006644,-10259.162881502338
116,-588785.8733006644,1460.3433875848011
117,-588785.8733006644,5914.797821518567
118,-588785.8733006644,-20638.302901454343
119,-588785.8733006644,-30088.828072863358
120,-588785.8733006644,-21816.243198325672
121,-588785.8733006644,-24903.681758480026
122,-588786.2369176077,-7277.327376454457
123,-588786.2369176077,-67.3665280282086
124,-588786.2369176077,-12689.292388734466
125,-588786.8523579764,-23770.195649699057
126,-588786.8523579764,-18154.518942479477
127,-588786.8523579764,-18769.508135957174
128,-588786.8523579764,-5874.810703044463
129,-588786.8523579764,-11697.083930268725
130,-589253.1240788626,-20097.876044253448
131,-589854.8626729178,-30621.395198083956
132,-590079.6352177786,-23189.887137328686
133,-590079.6352177786,-11366.85145441787
134,-590377.1590901541,-9501.367840596226
135,-590394.897852056,-24296.646184917274
136,-590394.897852056,-16758.075730517437
137,-590394.897852056,-22802.373377777352
138,-590394.897852056,-30325.449953545594
139,-590397.996263616,-26779.611453324876
140,-590397.996263616,-23021.950503251483
141,-590400.129694097,-31933.41881122823
142,-590400.129694097,-23462.890682036894
143,-590402.9517155814,-23259.699964623538
144,-590402.9517155814,-27004.723179933117
145,-590402.9517155814,-39452.78846139099
146,-590403.4221821951,-44393.59373731611
147,-590403.7439061331,-46199.893634758926
148,-590403.7439061331,-21822.082734439045
149,-590403.7439061331,-15419.616043496833
150,-590403.7589512991,-30403.319982730856
151,-590403.8334675955,-28160.92135179214
152,-590403.8334675955,-49821.52031646246
153,-590403.8434697317,-35087.92076663999
154,-590404.4943028616,-34250.01141952725
155,-590404.4943028616,-22842.842743232373
